customer_id,feedback,source,timestamp,category
A Google user,Seamless.,5.113.1,2020-09-12T03:32:35Z,5
A Google user,Apps easy to use...,5.97.0,2020-05-21T18:18:08Z,5
A Google user,Order grab taxi tau2 driver minta cancel. ditanya knp harus cancel tp alasannya ga jelas. ga profesional bgt sih !!,v4.0.4,2016-04-15T12:51:27Z,1
A Google user,i cant create the account to use this app..please fix it!!!,4.32.1,2018-08-30T00:58:15Z,1
A Google user,"ga tau salah apa ga bisa login dan suruh hubungin pusat,makin hari mqkin jelek grab ini. lebih baik gojek banyak promo juga,batal dikit ga kena suspen custnya.",,2019-05-31T23:48:20Z,1
A Google user,Need improvement,,2019-07-17T17:59:40Z,5
A Google user,Fast Delivery and Food are packed properly.. Food taste good,5.258.0,2023-06-30T04:53:00Z,5
A Google user,very convinient,5.49.0,2019-06-19T02:37:38Z,5
A Google user,Good,5.103.0,2020-10-19T10:57:27Z,5
A Google user,It's good so far. Hoping pwd services such as ordering food too can be experienced here.,5.211.0,2022-07-28T08:40:31Z,4
A Google user,PERFECT,4.23.0,2017-04-02T16:28:23Z,5
A Google user,OK,5.43.0,2019-07-31T03:30:45Z,1
A Google user,Ang bagal po nang service.ninyo... abot na mahigit 30 minuts kaka book..walang mg aacept nanng booking ang aarte nang driver.,5.199.0,2022-05-05T04:23:37Z,2
A Google user,App ngu. Otp nhập đúng rồi cứ báo sai. Đợi gần hết 30s mới nhận đc sms otp. Ko thể đăng ký hay đăng nhập đc.,5.20.0,2018-11-24T07:45:05Z,1
A Google user,Good job,,2019-06-09T02:18:22Z,5
A Google user,Why grab mostly need update ?,5.121.0,2021-03-25T03:41:31Z,2
A Google user,Nice app,5.107.0,2020-08-03T02:14:54Z,5
A Google user,Very responsible and friendly drive who have given us clear briefing on Grab's service.,5.209.0,2022-07-15T02:34:53Z,5
A Google user,hm lately its so expensive...,5.79.0,2020-01-22T23:48:30Z,2
A Google user,"Hr ini bawa barang Agak banyak, and driver no complain,,,nice work guys",4.2.1,2016-05-02T13:47:00Z,5
A Google user,definitely helpful,5.43.0,2019-05-20T06:00:45Z,5
A Google user,such a nice nd friendly person,5.211.0,2022-08-11T13:14:30Z,5
A Google user,B R I L L I A N T.....thats all i can say.,v2.5.5,2014-06-27T15:04:37Z,5
A Google user,ok,5.36.3,2019-03-23T14:01:33Z,5
A Google user,Excellent,5.55.1,2019-09-15T00:16:17Z,5
A Google user,I like app. grab is really great so very helpful app,5.52.1,2019-07-10T12:54:20Z,5
A Google user,nice service..,5.55.1,2019-07-29T15:47:14Z,5
A Google user,Bad application!!!! Lots of errors,4.29.1,2017-08-16T10:35:45Z,2
A Google user,Nice,,2018-07-18T03:22:13Z,4
A Google user,Nice Apps,5.44.0,2019-05-31T11:29:12Z,5
A Google user,Helpfull & easy to chat with driver,,2018-02-27T11:41:09Z,5
A Google user,"This app will try to find drivers and then when they cant find them,it will just leave us with 'there are no available drivers at the moment'.. Its really frustrating when you are rushing to find a grab car and then have to wait more than an hour trying to book and still cant get any grabcars.",4.42.1,2018-01-16T13:02:28Z,1
A Google user,Love this app. Drivers are courteous and on time,v4.0.4,2016-05-22T06:38:13Z,4
A Google user,Perlu bgt dan membantu,5.142.0,2021-04-16T09:38:44Z,5
A Google user,good,5.147.0,2021-05-20T02:33:21Z,5
A Google user,"Love this App, thanks Grab",5.64.0,2019-10-13T09:10:44Z,5
A Google user,is a good n better service..,5.176.0,2021-11-25T05:02:10Z,5
A Google user,Good service,5.133.0,2021-02-01T01:44:10Z,5
A Google user,Very Accurate and Fast.,,2019-07-01T09:43:26Z,5
A Google user,very good service,5.212.0,2022-08-11T02:30:19Z,5
A Google user,Its a cutting edge app with a great interface UI UX. my primary app for transport and payments backed by a stellar rewards program. It could be a little more customer friendly in policies as well as have better app launch timea,5.52.1,2019-07-14T17:11:47Z,5
A Google user,nice spps,5.210.0,2022-07-24T09:17:16Z,5
A Google user,My stored credit card information are all gone for no reason,4.43.1,2018-07-10T05:14:44Z,2
A Google user,"Dear grab, Why I cant use it ? Everytime I want to start use it. It always error",,2018-10-22T01:02:37Z,1
A Google user,"napakabilis Ng mga rider and mababait pahh, 🤗🤗🤗🤗",5.184.0,2022-01-16T05:14:18Z,5
A Google user,"you missed the opportunity to name it ""grab supperapp"" lmao",5.194.0,2022-03-30T05:46:28Z,5
A Google user,nice promos,5.24.1,2019-02-22T05:07:04Z,5
A Google user,I am feel safe& comfort,5.79.0,2020-01-25T08:53:25Z,5
A Google user,.bettry good. grap,4.49.1,2018-04-22T10:37:04Z,5
A Google user,When requesting a code it takes 1 hour to recieve the code. What the!,5.214.0,2022-08-19T10:22:15Z,1
A Google user,What the hell... The worst app and service... There were so many drivers near and around my place... Nobody accept my booking... Im have been waited so long...,5.64.0,2019-10-29T13:33:36Z,1
A Google user,I really happy with grab car service,4.12.0,2016-10-31T09:59:18Z,5
A Google user,"Driver behavior, using rules to mark no show traveler and charge traveler account",5.255.0,2023-06-17T12:41:47Z,1
A Google user,This app so okey to me,,2019-10-18T09:53:21Z,5
